epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,11835.1,0.8078,0.54795,1.15811,0.97198,0.93835,0.9637,0.75357,0.50342,1.19622,0.75431,0.005446,0.005446,0.005446
94,11952.8,0.80661,0.5364,1.15418,0.97343,0.93886,0.96411,0.75645,0.50262,1.20228,0.75356,0.0053965,0.0053965,0.0053965
95,12070.5,0.79615,0.53167,1.14804,0.9759,0.93777,0.96459,0.75659,0.50104,1.19265,0.75293,0.005347,0.005347,0.005347
96,12187.5,0.80826,0.53878,1.15726,0.97655,0.93846,0.96525,0.75744,0.50087,1.16469,0.75284,0.0052975,0.0052975,0.0052975
97,12303.9,0.80261,0.53184,1.1484,0.97656,0.93888,0.96541,0.75853,0.50026,1.14816,0.75198,0.005248,0.005248,0.005248
98,12420.4,0.79371,0.53216,1.14489,0.97699,0.93983,0.96543,0.7596,0.49947,1.12006,0.75152,0.0051985,0.0051985,0.0051985
99,12536.9,0.79862,0.53129,1.15352,0.97716,0.93964,0.96572,0.76066,0.49943,1.10507,0.7513,0.005149,0.005149,0.005149
100,12653.5,0.79595,0.53706,1.14869,0.97559,0.9401,0.96587,0.76093,0.49941,1.07372,0.7512,0.0050995,0.0050995,0.0050995
101,12770.1,0.78558,0.52138,1.1397,0.9758,0.94156,0.96621,0.76196,0.49832,1.0537,0.75081,0.00505,0.00505,0.00505
102,12886.6,0.78402,0.52193,1.14331,0.97717,0.9395,0.96606,0.76236,0.49781,1.03037,0.75045,0.0050005,0.0050005,0.0050005
103,13003.2,0.78733,0.52188,1.1449,0.97895,0.93949,0.96629,0.76215,0.49731,1.0292,0.75015,0.004951,0.004951,0.004951
104,13119.8,0.78591,0.51368,1.14028,0.97416,0.94298,0.96613,0.76242,0.49641,1.04193,0.74961,0.0049015,0.0049015,0.0049015
105,13236.5,0.7811,0.51703,1.13882,0.97468,0.94293,0.96621,0.76261,0.49589,1.03035,0.7491,0.004852,0.004852,0.004852
106,13353.1,0.78037,0.51339,1.13265,0.97604,0.94313,0.96653,0.76185,0.49546,1.01765,0.7487,0.0048025,0.0048025,0.0048025
107,13469.8,0.78084,0.51704,1.1371,0.97666,0.94296,0.96633,0.76161,0.49506,1.00574,0.74842,0.004753,0.004753,0.004753
108,13586.3,0.77022,0.50877,1.13619,0.97622,0.94344,0.96629,0.76184,0.49438,0.98511,0.74792,0.0047035,0.0047035,0.0047035
109,13702.7,0.77952,0.51606,1.14081,0.97686,0.94484,0.96592,0.76197,0.49402,0.97321,0.7476,0.004654,0.004654,0.004654
110,13819,0.7689,0.50294,1.12624,0.97702,0.9464,0.96612,0.76273,0.49346,0.96732,0.74697,0.0046045,0.0046045,0.0046045
111,13935.8,0.76479,0.50035,1.12828,0.97681,0.94599,0.96617,0.76291,0.49298,0.95624,0.74651,0.004555,0.004555,0.004555
112,14052.2,0.75915,0.49805,1.12643,0.97569,0.94637,0.96622,0.76282,0.49226,0.94879,0.74583,0.0045055,0.0045055,0.0045055
113,14168.8,0.76273,0.50376,1.12889,0.97585,0.94613,0.96662,0.76334,0.49112,0.94687,0.74499,0.004456,0.004456,0.004456
114,14285.3,0.76289,0.49991,1.1299,0.97571,0.94683,0.96563,0.7644,0.49054,0.93938,0.74445,0.0044065,0.0044065,0.0044065
115,14402,0.75893,0.50324,1.12302,0.97372,0.94726,0.96563,0.76386,0.48991,0.93812,0.74389,0.004357,0.004357,0.004357
116,14518.6,0.75799,0.49847,1.12498,0.97702,0.94669,0.96589,0.76507,0.48939,0.93184,0.74346,0.0043075,0.0043075,0.0043075
117,14635.1,0.75386,0.4974,1.12621,0.97699,0.94646,0.96587,0.76528,0.48906,0.92929,0.74319,0.004258,0.004258,0.004258
118,14751.6,0.75404,0.49706,1.12083,0.97648,0.94662,0.96595,0.76561,0.48871,0.9299,0.74283,0.0042085,0.0042085,0.0042085
119,14868.2,0.74596,0.4894,1.11803,0.97842,0.94602,0.96751,0.76666,0.4881,0.9211,0.74231,0.004159,0.004159,0.004159
120,14984.6,0.74546,0.49199,1.11517,0.97567,0.94533,0.96715,0.76708,0.48742,0.91355,0.74176,0.0041095,0.0041095,0.0041095
121,15101.2,0.74013,0.48574,1.11596,0.97616,0.94444,0.96722,0.7675,0.48699,0.90778,0.74149,0.00406,0.00406,0.00406
122,15217.6,0.73138,0.47823,1.10974,0.97592,0.94432,0.96709,0.76746,0.48669,0.91225,0.74117,0.0040105,0.0040105,0.0040105
123,15334.2,0.74624,0.49134,1.11962,0.9749,0.94437,0.96633,0.76683,0.48648,0.91654,0.74087,0.003961,0.003961,0.003961
124,15450.7,0.73547,0.48163,1.11059,0.97498,0.94425,0.96646,0.76708,0.48587,0.91767,0.74033,0.0039115,0.0039115,0.0039115
125,15567.2,0.73399,0.48631,1.11647,0.97576,0.94443,0.96678,0.76643,0.48548,0.91463,0.74002,0.003862,0.003862,0.003862
126,15683.7,0.72559,0.47577,1.10972,0.97496,0.94499,0.96664,0.76646,0.4851,0.90961,0.73968,0.0038125,0.0038125,0.0038125
127,15800.3,0.73045,0.47901,1.10977,0.97415,0.94556,0.96671,0.76651,0.48496,0.90717,0.73954,0.003763,0.003763,0.003763
128,15918.3,0.73006,0.48088,1.11325,0.9761,0.94693,0.9676,0.76693,0.48467,0.90391,0.73926,0.0037135,0.0037135,0.0037135
129,16037.3,0.72905,0.47516,1.10968,0.97612,0.94705,0.96759,0.76755,0.48435,0.9035,0.73893,0.003664,0.003664,0.003664
130,16156.2,0.71595,0.47144,1.10345,0.97511,0.94732,0.96752,0.76774,0.48397,0.90208,0.73865,0.0036145,0.0036145,0.0036145
131,16275,0.7233,0.48051,1.10758,0.97579,0.94734,0.96762,0.76877,0.48364,0.90046,0.73834,0.003565,0.003565,0.003565
132,16393.6,0.71908,0.47359,1.10557,0.97533,0.9474,0.96766,0.76879,0.48338,0.89897,0.7381,0.0035155,0.0035155,0.0035155
133,16511.9,0.72188,0.46887,1.10678,0.97554,0.94715,0.96765,0.76882,0.48313,0.89615,0.73793,0.003466,0.003466,0.003466
134,16630.7,0.71339,0.46568,1.10088,0.97591,0.94723,0.96767,0.76907,0.48274,0.89793,0.73759,0.0034165,0.0034165,0.0034165
135,16749.5,0.70818,0.45989,1.09763,0.97687,0.94721,0.96774,0.76905,0.48248,0.89727,0.73743,0.003367,0.003367,0.003367
136,16867.8,0.70891,0.46013,1.09811,0.97587,0.94706,0.96757,0.76943,0.48231,0.89565,0.73732,0.0033175,0.0033175,0.0033175
137,16986.2,0.70039,0.45674,1.09161,0.97629,0.94632,0.96695,0.76956,0.4821,0.89324,0.73721,0.003268,0.003268,0.003268
138,17104.9,0.70307,0.45418,1.09524,0.97696,0.94762,0.96769,0.76995,0.48182,0.89095,0.73698,0.0032185,0.0032185,0.0032185
139,17223.9,0.69839,0.45441,1.08925,0.97705,0.94766,0.96764,0.76978,0.48151,0.8911,0.73676,0.003169,0.003169,0.003169
140,17342.4,0.69121,0.44946,1.08767,0.97707,0.94756,0.96764,0.77006,0.4812,0.8913,0.73651,0.0031195,0.0031195,0.0031195
